APO01,4.3,10.9,11.1.2,12.1,12.2,12.3,12.4,12.4.1,12.5,12.5.3,12.6,12.6.1,12.6.2,12.10
APO01.01,12.5.3,12.10.1,12.10.3,12.10.6
APO01.02,6.3.2,12.3.4,9.6.3,12.4,12.4.1,12.8.5,12.4.1,8.1.8,3.5.2,7.1,8.1,12.3.8,12.3.9,12.5.4,12.5.3,12.10.1,12.10.3,12.10.6
APO01.03,12.2,12.6,7.3,8.8,9.10,12.4,12.4.1,7.3,8.8,9.10,12.1,12.2,12.2,12.8.5,12.3,12.6,12.4.1,8.1.8,10.5,7.1.2,7.1.4,7.2,8.1,8.1.5,8.5,3.5.2,7.1,8.1,12.3.8,12.3.9,12.5.4,7.3,8.8,9.10,6.4.2,7.3,8.8,9.10,6.4.1,6.4.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,7.2,7.2.1,7.2.2,7.3,12.8,12.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,7.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,12.5.4,8.1.4,8.1.3,8.1.4,8.1.5,12.5.4,10.1,12.3,4.3,4.1,12.5.3,12.10.1,12.10.3,12.10.6,12.1,12.10.1,1.4,5,2.2,6.1,6.2,6.3.2,6.4.5,6.5,6.6,11.2,11.2.1,11.2.2,11.2.3
APO01.04,12.6,7.3,8.8,9.10,12.4,12.4.1,7.3,8.8,9.10,12.1,12.2,4.1.1
APO01.06,6.3.2,12.3.4,9.7.1,9.9,9.9.1,9.9.2,9.9.3,3.1,9.6.1,9.7.1,9.10,12.3,1.1.3,12.3.3,12.3.10,2.1.1,3.1,4.1,4.1.1,4.2,9.5,9.5.1,9.6,9.7,9.8,9.9,6.4.3,3.7,12.5.5,12.10.4,3.1,9.8,9.8.1,9.8.2,3.1,3.5,7.1.3,8.1,8.1.1,8.1.2,8.1.6,8.1.7,8.2.1,8.2.2,8.2.3,8.2.4,8.2.5,8.2.6,8.5,8.5.1,3.5.3,3.5.4,3.6.1,3.6.3,1.1,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.7,2.2,2.2.1,2.2.2,2.2.3,2.2.4
APO01.08,12.6,7.3,8.8,9.10,12.4,12.4.1,9.3,11.1,12.3,12.8.5,12.3,12.6,12.4.1,8.1.8,10.5,7.1.2,7.1.4,7.2,8.1,8.1.5,8.5,3.5.2,7.1,8.1,12.3.8,12.3.9,12.5.4,7.3,8.8,9.10,6.4.2,7.3,8.8,9.10,6.4.1,6.4.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,7.2,7.2.1,7.2.2,7.3,12.8,12.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,7.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,12.5.4,8.1.4,8.1.3,8.1.4,8.1.5,12.5.4,10.1,12.3,4.1,10.4,10.4.1,10.4.2,10.4.3,6.1,1.2.3,2.1.1,4.1,4.1.1,11.1,11.1,11.1,11.1,11.1,11.1.1,11.1.2,9.1.3,4.1.1,4.3,12.5.3,12.10.1,12.10.3,12.10.6,2.4,12.8.2,12.8.3,12.8.4,A1
APO02.05,4.1
APO03.01,1.1.3,12.3.3,12.3.10,4.1,1.1,1.1.2,1.1.3,1.1.5,1.1.6,1.2,1.2.1,1.2.2,1.2.3,1.3,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.3.6,1.3.7,1.5,2.2.2,2.2.3,2.2.4,2.5,4.1,6.4.1,6.4.2,1.1,1.2,1.2.1,1.2.3,1.3,1.4,2.1.1,2.2.3,2.2.4,2.3,4.1
APO03.02,9.7.1,9.9,9.9.1,9.9.2,9.9.3,9.6.3,3.1,9.6.1,9.7.1,9.10,12.3,1.1.3,12.3.3,12.3.10,2.1.1,3.1,4.1,4.1.1,4.2,9.5,9.5.1,9.6,9.7,9.8,9.9,3.7,12.5.5,12.10.4,1.1,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.7,2.2,2.2.1,2.2.2,2.2.3,2.2.4,4.1,1.1,1.1.2,1.1.3,1.1.5,1.1.6,1.2,1.2.1,1.2.2,1.2.3,1.3,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.3.6,1.3.7,1.5,2.2.2,2.2.3,2.2.4,2.5,4.1,6.4.1,6.4.2,1.1,1.2,1.2.1,1.2.3,1.3,1.4,2.1.1,2.2.3,2.2.4,2.3,4.1
APO03.04,4.1
APO04.02,4.1,6.1,4.1.1
APO04.03,6.1
APO04.04,6.1
APO07.01,4.3,10.9,11.1.2,12.1,12.2,12.3,12.4,12.4.1,12.5,12.5.3,12.6,12.6.1,12.6.2,12.10,12.7,12.8.3
APO07.03,4.3,10.9,11.1.2,12.1,12.2,12.3,12.4,12.4.1,12.5,12.5.3,12.6,12.6.1,12.6.2,12.10,12.6,12.4.1,8.1.8,12.10.1
APO07.05,12.7,12.8.3
APO07.06,2.1,2.2.4,2.2.5,2.3,2.5,2.6,3.3,3.4,3.5.4,3.6,4.1,4.2,6.3.1,6.3.2,6.4.2,6.4.3,6.4.4,6.4.5.1,6.4.5.2,6.4.5.3,6.7,7.1,7.1.3,7.1.4,8.3,8.3.1,8.3.2,8.5.1,8.7,9.1,9.1.2,9.2,10.5,11.5,12.3,12.8,9.3,12.7,12.8.3,12.8.5,12.6,12.4.1,8.1.8,12.8,12.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,12.5.4,12.10.1
APO08.01,9.7.1,9.9,9.9.1,9.9.2,9.9.3,3.1,9.6.1,9.7.1,9.10,12.3,2.1.1,3.1,4.1,4.1.1,4.2,9.5,9.5.1,9.6,9.7,9.8,9.9
APO08.04,10.5.5,12.10.5
APO09.01,4.1.1,4.2,4.3,2.3,3.4.1,4.1,4.1.1,6.1,6.3.2,6.5,7.1,7.2,7.3,8.1,8.2,8.3,8.3.1,8.3.2,8.4,8.5,8.6,8.7,8.8,10.5.5,10.9,11.5,11.6,1.1.3,12.3.3,12.3.10,1.1.3,12.3.3,12.3.10
APO09.02,4.1.1,4.2,4.3,2.3,3.4.1,4.1,4.1.1,6.1,6.3.2,6.5,7.1,7.2,7.3,8.1,8.2,8.3,8.3.1,8.3.2,8.4,8.5,8.6,8.7,8.8,10.5.5,10.9,11.5,11.6
APO09.03,6,6.5,4.1.1,4.2,4.3,2.3,3.4.1,4.1,4.1.1,6.1,6.3.2,6.5,7.1,7.2,7.3,8.1,8.2,8.3,8.3.1,8.3.2,8.4,8.5,8.6,8.7,8.8,10.5.5,10.9,11.5,11.6,4.3,10.9,11.1.2,12.1,12.2,12.3,12.4,12.4.1,12.5,12.5.3,12.6,12.6.1,12.6.2,12.10,2.1,2.2.4,2.2.5,2.3,2.5,2.6,3.3,3.4,3.5.4,3.6,4.1,4.2,6.3.1,6.3.2,6.4.2,6.4.3,6.4.4,6.4.5.1,6.4.5.2,6.4.5.3,6.7,7.1,7.1.3,7.1.4,8.3,8.3.1,8.3.2,8.5.1,8.7,9.1,9.1.2,9.2,10.5,11.5,12.3,12.8,9.7.1,9.9,9.9.1,9.9.2,9.9.3,9.8,9.8.1,9.8.2,12.3,3.1,9.6.1,9.7.1,9.10,12.3,9.5,9.5.1,9.6,9.7,9.8,9.9,3.4.1,3.5,3.5.1,3.5.4,3.5.2,3.5.3,3.6,3.6.1,3.6.2,3.6.3,3.6.4,3.6.5,3.6.6,3.6.7,3.6.8,4.1,6.5.3,8.2.1,8.2.2,12.8.5,4.1,2.4,12.8.1,12.8.2
APO09.04,2.1,2.2.4,2.2.5,2.3,2.5,2.6,3.3,3.4,3.5.4,3.6,4.1,4.2,6.3.1,6.3.2,6.4.2,6.4.3,6.4.4,6.4.5.1,6.4.5.2,6.4.5.3,6.7,7.1,7.1.3,7.1.4,8.3,8.3.1,8.3.2,8.5.1,8.7,9.1,9.1.2,9.2,10.5,11.5,12.3,12.8
APO09.05,2.4,12.8.1,12.8.2
APO10.01,2.1,2.2.4,2.2.5,2.3,2.5,2.6,3.3,3.4,3.5.4,3.6,4.1,4.2,6.3.1,6.3.2,6.4.2,6.4.3,6.4.4,6.4.5.1,6.4.5.2,6.4.5.3,6.7,7.1,7.1.3,7.1.4,8.3,8.3.1,8.3.2,8.5.1,8.7,9.1,9.1.2,9.2,10.5,11.5,12.3,12.8
APO10.04,2.1,2.2.4,2.2.5,2.3,2.5,2.6,3.3,3.4,3.5.4,3.6,4.1,4.2,6.3.1,6.3.2,6.4.2,6.4.3,6.4.4,6.4.5.1,6.4.5.2,6.4.5.3,6.7,7.1,7.1.3,7.1.4,8.3,8.3.1,8.3.2,8.5.1,8.7,9.1,9.1.2,9.2,10.5,11.5,12.3,12.8,9.8,9.8.1,9.8.2,12.3,12.8.5,12.8,12.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,7.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,12.5.4,12.8.4
APO10.05,2.1,2.2.4,2.2.5,2.3,2.5,2.6,3.3,3.4,3.5.4,3.6,4.1,4.2,6.3.1,6.3.2,6.4.2,6.4.3,6.4.4,6.4.5.1,6.4.5.2,6.4.5.3,6.7,7.1,7.1.3,7.1.4,8.3,8.3.1,8.3.2,8.5.1,8.7,9.1,9.1.2,9.2,10.5,11.5,12.3,12.8,9.8,9.8.1,9.8.2,12.3,12.8.4,2.4,12.8.2,12.8.3,12.8.4,A1
APO11.01,2.1,2.2.4,2.2.5,2.3,2.5,2.6,3.3,3.4,3.5.4,3.6,4.1,4.2,6.3.1,6.3.2,6.4.2,6.4.3,6.4.4,6.4.5.1,6.4.5.2,6.4.5.3,6.7,7.1,7.1.3,7.1.4,8.3,8.3.1,8.3.2,8.5.1,8.7,9.1,9.1.2,9.2,10.5,11.5,12.3,12.8,6.1,6.2,6.3,6.4,6.5,6.6,6.7
APO11.02,2.1,2.2.4,2.2.5,2.3,2.5,2.6,3.3,3.4,3.5.4,3.6,4.1,4.2,6.3.1,6.3.2,6.4.2,6.4.3,6.4.4,6.4.5.1,6.4.5.2,6.4.5.3,6.7,7.1,7.1.3,7.1.4,8.3,8.3.1,8.3.2,8.5.1,8.7,9.1,9.1.2,9.2,10.5,11.5,12.3,12.8,6.1,6.2,6.3,6.4,6.5,6.6,6.7
APO11.04,2.1,2.2.4,2.2.5,2.3,2.5,2.6,3.3,3.4,3.5.4,3.6,4.1,4.2,6.3.1,6.3.2,6.4.2,6.4.3,6.4.4,6.4.5.1,6.4.5.2,6.4.5.3,6.7,7.1,7.1.3,7.1.4,8.3,8.3.1,8.3.2,8.5.1,8.7,9.1,9.1.2,9.2,10.5,11.5,12.3,12.8,6.1,6.2,6.3,6.4,6.5,6.6,6.7
APO11.05,2.1,2.2.4,2.2.5,2.3,2.5,2.6,3.3,3.4,3.5.4,3.6,4.1,4.2,6.3.1,6.3.2,6.4.2,6.4.3,6.4.4,6.4.5.1,6.4.5.2,6.4.5.3,6.7,7.1,7.1.3,7.1.4,8.3,8.3.1,8.3.2,8.5.1,8.7,9.1,9.1.2,9.2,10.5,11.5,12.3,12.8,6.1,6.2,6.3,6.4,6.5,6.6,6.7
APO12,12.2,12.1.1,12.2,12.2
APO12.01,3.1,12.2
APO12.02,3.1,12.2
APO12.03,3.1,12.2
APO12.04,11.2,11.3,6.3.2,6.6,11.2.1,11.2.2,11.2.3,11.3.1,11.3.2,11.3.3,11.3.4,12.8.4,12.2
APO12.05,11.2,11.3,6.3.2,6.6,11.2.1,11.2.2,11.2.3,11.3.1,11.3.2,11.3.3,11.3.4,12.8.4
APO13.01,6,6.5,4.1.1,4.2,4.3,2.3,3.4.1,4.1,4.1.1,6.1,6.3.2,6.5,7.1,7.2,7.3,8.1,8.2,8.3,8.3.1,8.3.2,8.4,8.5,8.6,8.7,8.8,10.5.5,10.9,11.5,11.6,2.1,2.2.2,3.6,4.1,5.1,5.1.1,5.1.2,5.2,5.3,5.4,6.2,7.1,9.1,9.1.1,9.1.2,9.1.3,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.3,10.3.4,10.3.5,10.3.6,10.4,10.5,10.6,10.6.1,10.6.2,10.6.3,10.7,11.1,11.4,11.5,11.5.1,12.3,12.3.1,12.3.2,12.3.5,12.3.6,12.3.7,9.1,9.1.1,9.1.2,9.1.3,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,9.8,9.8.1,9.8.2,12.3,9.1,9.1.1,9.1.2,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,9.1,9.1.1,9.1.3,9.1,9.1.1,9.1.2,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,9.5,9.5.1,9.1,9.1.1,9.1.2,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,9.5,9.5.1,3.1,9.6.1,9.7.1,9.10,12.3,2.1.1,3.1,4.1,4.1.1,4.2,9.5,9.5.1,9.6,9.7,9.8,9.9,3.7,12.5.5,12.10.4,3.1,9.8,9.8.1,9.8.2,3.1,3.5,7.1.3,8.1,8.1.1,8.1.2,8.1.6,8.1.7,8.2.1,8.2.2,8.2.3,8.2.4,8.2.5,8.2.6,8.5,8.5.1,3.4.1,3.5,3.5.1,3.5.4,3.5.2,3.5.3,3.6,3.6.1,3.6.2,3.6.3,3.6.4,3.6.5,3.6.6,3.6.7,3.6.8,4.1,6.5.3,8.2.1,8.2.2,2.1.1,2.3,3.3,3.4,3.4.1,4.1,4.1.1,4.2,4.3,6.5.1,6.5.2,6.5.3,6.5.4,6.5.5,6.5.6,6.5.7,6.5.8,6.5.9,6.5.10,8.2.1,1.1,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.7,2.2,2.2.1,2.2.2,2.2.3,2.2.4,12.1,12.2,12.4,12.4.1,7.3,8.8,9.10,12.1,12.2,12.2,12.1.1,9.3,11.1,12.3,12.8.5,12.3,12.6,12.4.1,8.1.8,10.5,7.1.2,7.1.4,7.2,8.1,8.1.5,8.5,3.5.2,7.1,8.1,12.3.8,12.3.9,12.5.4,1.2.2,7.1,7.1.2,7.1.3,7.2,7.2.3,9.1.2,9.1.3,7.3,8.8,9.10,7.1,7.1.2,7.2,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.4,10.3.5,10.3.6,10.4,10.5,10.5.1,10.5.2,10.5.3,10.5.4,10.6,10.7,10.9,11.4,11.5,11.6,12.5.2,10.5.5,12.10.5,10.4,10.4.1,10.4.2,10.4.3,1.1,1.1.2,1.1.3,1.1.5,1.1.6,1.2,1.2.1,1.2.2,1.2.3,1.3,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.3.6,1.3.7,1.5,2.2.2,2.2.3,2.2.4,2.5,4.1,2.1,2.2,2.5,5.1,6.4.1,6.4.2,1.1,1.2,1.2.1,1.2.3,1.3,1.4,2.1.1,2.2.3,2.2.4,2.3,4.1,3.5.2,3.6.6,1.2.3,2.1.1,4.1,4.1.1,11.1,11.1,11.1,11.1,11.1,11.1.1,11.1.2,9.1.3,4.1.1,4.3,4.1,12.1,12.10.1,1.4,5,2.2,6.1,6.2,6.3.2,6.4.5,6.5,6.6,11.2,11.2.1,11.2.2,11.2.3
APO13.02,9.1,9.1.1,9.1.3,9.1,9.1.1,9.1.2,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,9.5,9.5.1,9.1,9.1.1,9.1.2,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,9.5,9.5.1,2.1.1,3.1,4.1,4.1.1,4.2,3.4.1,3.5,3.5.1,3.5.4,3.5.2,3.5.3,3.6,3.6.1,3.6.2,3.6.3,3.6.4,3.6.5,3.6.6,3.6.7,3.6.8,4.1,6.5.3,8.2.1,8.2.2,1.1,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.7,2.2,2.2.1,2.2.2,2.2.3,2.2.4,12.1,12.2,12.4,12.4.1,7.3,8.8,9.10,12.1,12.2,11.1,12.3,12.3,10.5,7.1.2,7.1.4,7.2,8.1,8.1.5,8.5,3.5.2,7.1,8.1,12.3.8,12.3.9,12.5.4,7.3,8.8,9.10,6.4.2,7.3,8.8,9.10,6.4.1,6.4.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,7.2,7.2.1,7.2.2,7.3,12.8,12.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,7.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,12.5.4,8.1.4,8.1.3,8.1.4,8.1.5,12.5.4,10.1,12.3,7.1,7.1.2,7.2,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.4,10.3.5,10.3.6,10.4,10.5,10.5.1,10.5.2,10.5.3,10.5.4,10.6,10.7,10.9,11.4,11.5,11.6,12.5.2,10.4,10.4.1,10.4.2,10.4.3,1.1,1.1.2,1.1.3,1.1.5,1.1.6,1.2,1.2.1,1.2.2,1.2.3,1.3,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.3.6,1.3.7,1.5,2.2.2,2.2.3,2.2.4,2.5,4.1,2.1,2.2,2.5,5.1,6.4.1,6.4.2,1.1,1.2,1.2.1,1.2.3,1.3,1.4,2.1.1,2.2.3,2.2.4,2.3,4.1,3.5.2,3.6.6,1.2.3,2.1.1,4.1,4.1.1,11.1,11.1,11.1,11.1,11.1,11.1.1,11.1.2,9.1.3,4.1.1,4.3,4.1,12.1,12.10.1,1.4,5,2.2,6.1,6.2,6.3.2,6.4.5,6.5,6.6,11.2,11.2.1,11.2.2,11.2.3
APO13.03,3.7,12.5.5,12.10.4,12.1,12.2,12.4,12.4.1,12.2,12.1.1,12.8.5,12.6,12.4.1,8.1.8,4.1.1,4.3
BAI01.01,6.4.3
BAI02,4.1.1,4.2,4.3
BAI02.01,1.1,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.7,2.2,2.2.1,2.2.2,2.2.3,2.2.4,4.1,1.1,1.1.2,1.1.3,1.1.5,1.1.6,1.2,1.2.1,1.2.2,1.2.3,1.3,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.3.6,1.3.7,1.5,2.2.2,2.2.3,2.2.4,2.5,4.1,2.1,2.2,2.5,5.1
BAI02.03,9.6.3,1.1,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.7,2.2,2.2.1,2.2.2,2.2.3,2.2.4
BAI02.04,6.3.2,12.3.4,6.1,6.2,6.3,6.4,6.5,6.6,6.7,9.6.3,1.1,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.7,2.2,2.2.1,2.2.2,2.2.3,2.2.4,4.1
BAI03.01,6,6.5
BAI03.02,6,6.5,1.1,1.1.2,1.1.3,1.1.5,1.1.6,1.2,1.2.1,1.2.2,1.2.3,1.3,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.3.6,1.3.7,1.5,2.2.2,2.2.3,2.2.4,2.5,4.1,2.1,2.2,2.5,5.1
BAI03.03,6,6.5,1.1,1.1.2,1.1.3,1.1.5,1.1.6,1.2,1.2.1,1.2.2,1.2.3,1.3,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.3.6,1.3.7,1.5,2.2.2,2.2.3,2.2.4,2.5,4.1,2.1,2.2,2.5,5.1
BAI03.04,1.1,1.1.2,1.1.3,1.1.5,1.1.6,1.2,1.2.1,1.2.2,1.2.3,1.3,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.3.6,1.3.7,1.5,2.2.2,2.2.3,2.2.4,2.5,4.1,2.1,2.2,2.5,5.1
BAI03.05,6,6.5,10.4,10.4.1,10.4.2,10.4.3,1.1,1.1.2,1.1.3,1.1.5,1.1.6,1.2,1.2.1,1.2.2,1.2.3,1.3,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.3.6,1.3.7,1.5,2.2.2,2.2.3,2.2.4,2.5,4.1,2.1,2.2,2.5,5.1
BAI03.06,6.1,6.2,6.3,6.4,6.5,6.6,6.7
BAI03.07,6.4.3
BAI03.08,6.1,6.2,6.3,6.4,6.5,6.6,6.7
BAI03.09,9.6.3
BAI03.10,10.9,11.6
BAI04.03,10.9,11.6
BAI04.04,10.9,11.6
BAI06.01,6.3.2,12.3.4,2.1,2.2.2,3.6,4.1,5.1,5.1.1,5.1.2,5.2,5.3,5.4,6.2,7.1,9.1,9.1.1,9.1.2,9.1.3,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.3,10.3.4,10.3.5,10.3.6,10.4,10.5,10.6,10.6.1,10.6.2,10.6.3,10.7,11.1,11.4,11.5,11.5.1,12.3,12.3.1,12.3.2,12.3.5,12.3.6,12.3.7,1.1.1,6.3.2,6.4.5,9.6.3,3.4.1,3.5,3.5.1,3.5.4,3.5.2,3.5.3,3.6,3.6.1,3.6.2,3.6.3,3.6.4,3.6.5,3.6.6,3.6.7,3.6.8,4.1,6.5.3,8.2.1,8.2.2,1.1,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.7,2.2,2.2.1,2.2.2,2.2.3,2.2.4,10.5.5,12.10.5,2.2,6.1,6.2,6.3.2,6.4.5,6.5,6.6,11.2,11.2.1,11.2.2,11.2.3
BAI06.02,1.1.1,6.3.2,6.4.5,10.5.5,12.10.5,2.2,6.1,6.2,6.3.2,6.4.5,6.5,6.6,11.2,11.2.1,11.2.2,11.2.3
