APO01,4.3,10.9,11.1.2,12.1,12.2,12.3,12.4,12.4.1,12.5,12.5.3,12.6,12.6.1,12.6.2,12.10
BAI06.03,1.1.1,6.3.2,6.4.5,1.1.3,12.3.3,12.3.10,2.2,6.1,6.2,6.3.2,6.4.5,6.5,6.6,11.2,11.2.1,11.2.2,11.2.3
BAI06.04,1.1.1,6.3.2,6.4.5,2.2,6.1,6.2,6.3.2,6.4.5,6.5,6.6,11.2,11.2.1,11.2.2,11.2.3
BAI07.01,1.1.1,6.3.2,6.4.5
BAI07.03,6.1,6.2,6.3,6.4,6.5,6.6,6.7,1.1.1,6.3.2,6.4.5
BAI07.04,1.1.1,6.3.2,6.4.5,6.4.3
BAI07.05,6.1,6.2,6.3,6.4,6.5,6.6,6.7,1.1.1,6.3.2,6.4.5
BAI07.06,1.1.1,6.3.2,6.4.5
BAI08,1.1.2,1.1.3,2.2,12.3,12.6
BAI09.01,3.1,3.2,3.2.1,3.2.2,3.2.3,9.9.1,9.5,9.5.1,9.6,9.7,9.8,10.7,12.10.1,9.7.1,9.9,9.9.1,9.9.2,9.9.3,3.1,9.6.1,9.7.1,9.10,12.3,1.1.3,12.3.3,12.3.10,9.5,9.5.1,9.6,9.7,9.8,9.9,3.4.1,3.5,3.5.1,3.5.4,3.5.2,3.5.3,3.6,3.6.1,3.6.2,3.6.3,3.6.4,3.6.5,3.6.6,3.6.7,3.6.8,4.1,6.5.3,8.2.1,8.2.2,12.2
BAI09.02,3.1,3.2,3.2.1,3.2.2,3.2.3,9.9.1,9.5,9.5.1,9.6,9.7,9.8,10.7,12.10.1,9.7.1,9.9,9.9.1,9.9.2,9.9.3,3.1,9.6.1,9.7.1,9.10,12.3,9.5,9.5.1,9.6,9.7,9.8,9.9,3.4.1,3.5,3.5.1,3.5.4,3.5.2,3.5.3,3.6,3.6.1,3.6.2,3.6.3,3.6.4,3.6.5,3.6.6,3.6.7,3.6.8,4.1,6.5.3,8.2.1,8.2.2,3.5.3,3.5.4,3.6.1,3.6.3
BAI09.03,3.1,3.2,3.2.1,3.2.2,3.2.3,9.9.1,9.5,9.5.1,9.6,9.7,9.8,10.7,12.10.1,9.7.1,9.9,9.9.1,9.9.2,9.9.3,3.1,9.6.1,9.7.1,9.10,12.3,9.5,9.5.1,9.6,9.7,9.8,9.9,3.1,9.8,9.8.1,9.8.2,3.1,3.4.1,3.5,3.5.1,3.5.4,3.5.2,3.5.3,3.6,3.6.1,3.6.2,3.6.3,3.6.4,3.6.5,3.6.6,3.6.7,3.6.8,4.1,6.5.3,8.2.1,8.2.2,3.5.3,3.5.4,3.6.1,3.6.3,9.3
BAI10,1.1.2,1.1.3,2.2,12.3,12.6,2.1,2.2.2,3.6,4.1,5.1,5.1.1,5.1.2,5.2,5.3,5.4,6.2,7.1,9.1,9.1.1,9.1.2,9.1.3,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.3,10.3.4,10.3.5,10.3.6,10.4,10.5,10.6,10.6.1,10.6.2,10.6.3,10.7,11.1,11.4,11.5,11.5.1,12.3,12.3.1,12.3.2,12.3.5,12.3.6,12.3.7
BAI10.01,1.1.3,12.3.3,12.3.10,1.1,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.7,2.2,2.2.1,2.2.2,2.2.3,2.2.4,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.4,10.3.5,10.3.6,10.4,10.5,10.5.1,10.5.2,10.5.3,10.5.4,10.6,10.7,10.9,11.4,11.5,11.6,12.5.2
BAI10.02,1.1.3,12.3.3,12.3.10,1.1,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.7,2.2,2.2.1,2.2.2,2.2.3,2.2.4,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.4,10.3.5,10.3.6,10.4,10.5,10.5.1,10.5.2,10.5.3,10.5.4,10.6,10.7,10.9,11.4,11.5,11.6,12.5.2
BAI10.03,1.1.3,12.3.3,12.3.10,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.4,10.3.5,10.3.6,10.4,10.5,10.5.1,10.5.2,10.5.3,10.5.4,10.6,10.7,10.9,11.4,11.5,11.6,12.5.2,10.5.5,12.10.5
BAI10.04,1.1.3,12.3.3,12.3.10,10.5.5,12.10.5
BAI10.05,1.1.3,12.3.3,12.3.10
DSS01.01,1.1.2,1.1.3,2.2,12.3,12.6,4.3,10.9,11.1.2,12.1,12.2,12.3,12.4,12.4.1,12.5,12.5.3,12.6,12.6.1,12.6.2,12.10,9.1,9.1.1,9.1.2,9.1.3,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,3.1,9.8,9.8.1,9.8.2,3.1,12.6,7.3,8.8,9.10,10.4,10.4.1,10.4.2,10.4.3,2.2,6.1,6.2,6.3.2,6.4.5,6.5,6.6,11.2,11.2.1,11.2.2,11.2.3
DSS01.02,9.8,9.8.1,9.8.2,12.3,2.2,6.1,6.2,6.3.2,6.4.5,6.5,6.6,11.2,11.2.1,11.2.2,11.2.3
DSS01.03,4.1,4.1.1,9.1,9.2,3.5.3,3.6.3,3.7,5.1,5.2,5.3,6.1,6.2,7.1,7.2,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,12.2,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.4,10.3.5,10.3.6,10.4,10.5,10.5.1,10.5.2,10.5.3,10.5.4,10.6,10.7,10.9,11.4,11.5,11.6,12.5.2,12.1,2.2,6.1,6.2,6.3.2,6.4.5,6.5,6.6,11.2,11.2.1,11.2.2,11.2.3
DSS01.04,4.1,4.1.1,9.1,9.2,3.5.3,3.6.3,3.7,5.1,5.2,5.3,6.1,6.2,7.1,7.2,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,12.2,9.1.3,9.5,9.6,9.9,9.9.1,12.2,9.1,9.1.1,9.1.2,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4
DSS01.05,4.1,4.1.1,9.1,9.2,3.5.3,3.6.3,3.7,5.1,5.2,5.3,6.1,6.2,7.1,7.2,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,12.2,9.1.3,9.5,9.6,9.9,9.9.1,12.2,9.1,9.1.1,9.1.2,9.1.3,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,9.1,9.1.1,9.1.2,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4
DSS02.01,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.4,10.3.5,10.3.6,10.4,10.5,10.5.1,10.5.2,10.5.3,10.5.4,10.6,10.7,10.9,11.4,11.5,11.6,12.5.2,12.1,12.10.1
DSS02.02,1.2.3,2.1.1,4.1,4.1.1,11.1,11.1,11.1,11.1,11.1,11.1.1,11.1.2,9.1.3,12.1
DSS02.04,12.1
DSS02.05,12.1
DSS02.06,12.1
DSS03.05,10.9,11.6,2.2,6.1,6.2,6.3.2,6.4.5,6.5,6.6,11.2,11.2.1,11.2.2,11.2.3
DSS04.01,3.1,3.2,3.2.1,3.2.2,3.2.3,9.9.1,9.5,9.5.1,9.6,9.7,9.8,10.7,12.10.1,9.1,9.1.1,9.1.2,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4
DSS04.02,3.1,3.2,3.2.1,3.2.2,3.2.3,9.9.1,9.5,9.5.1,9.6,9.7,9.8,10.7,12.10.1
DSS04.03,4.1,4.1.1,9.1,9.2,3.1,3.2,3.2.1,3.2.2,3.2.3,9.9.1,9.5,9.5.1,9.6,9.7,9.8,10.7,12.10.1,9.1,9.1.1,9.1.2,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4
DSS04.04,12.10.2,3.1,3.2,3.2.1,3.2.2,3.2.3,9.9.1,9.5,9.5.1,9.6,9.7,9.8,10.7,12.10.1
DSS04.07,3.1,3.2,3.2.1,3.2.2,3.2.3,9.9.1,9.5,9.5.1,9.6,9.7,9.8,10.7,12.10.1,9.7.1,9.9,9.9.1,9.9.2,9.9.3,3.1,9.6.1,9.7.1,9.10,12.3,9.5,9.5.1,9.6,9.7,9.8,9.9
DSS05,4.1.1,4.2,4.3,2.1.1,3.1,4.1,4.1.1,4.2
DSS05.01,11.1,12.3,2.1,2.2,2.5,5.1,1.4,5,2.2,6.1,6.2,6.3.2,6.4.5,6.5,6.6,11.2,11.2.1,11.2.2,11.2.3
DSS05.02,2.3,3.4.1,4.1,4.1.1,6.1,6.3.2,6.5,7.1,7.2,7.3,8.1,8.2,8.3,8.3.1,8.3.2,8.4,8.5,8.6,8.7,8.8,10.5.5,10.9,11.5,11.6,2.1.1,2.3,3.3,3.4,3.4.1,4.1,4.1.1,4.2,4.3,6.5.1,6.5.2,6.5.3,6.5.4,6.5.5,6.5.6,6.5.7,6.5.8,6.5.9,6.5.10,8.2.1,11.1,12.3,1.2.2,7.1,7.1.2,7.1.3,7.2,7.2.3,9.1.2,9.1.3,7.3,8.8,9.10,1.1,1.1.2,1.1.3,1.1.5,1.1.6,1.2,1.2.1,1.2.2,1.2.3,1.3,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.3.6,1.3.7,1.5,2.2.2,2.2.3,2.2.4,2.5,4.1,6.4.1,6.4.2,1.1,1.2,1.2.1,1.2.3,1.3,1.4,2.1.1,2.2.3,2.2.4,2.3,4.1,3.5.2,3.6.6,1.2.3,2.1.1,4.1,4.1.1,11.1,11.1,11.1,11.1,11.1,11.1.1,11.1.2,9.1.3
DSS05.03,2.1,2.2.2,3.6,4.1,5.1,5.1.1,5.1.2,5.2,5.3,5.4,6.2,7.1,9.1,9.1.1,9.1.2,9.1.3,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.3,10.3.4,10.3.5,10.3.6,10.4,10.5,10.6,10.6.1,10.6.2,10.6.3,10.7,11.1,11.4,11.5,11.5.1,12.3,12.3.1,12.3.2,12.3.5,12.3.6,12.3.7,2.1.1,2.3,3.3,3.4,3.4.1,4.1,4.1.1,4.2,4.3,6.5.1,6.5.2,6.5.3,6.5.4,6.5.5,6.5.6,6.5.7,6.5.8,6.5.9,6.5.10,8.2.1,11.1,12.3,8.1.8,10.5,7.1.2,7.1.4,7.2,8.1,8.1.5,8.5,1.2.2,7.1,7.1.2,7.1.3,7.2,7.2.3,9.1.2,9.1.3,6.1,2.1,2.2,2.5,5.1,1.2.3,2.1.1,4.1,4.1.1,11.1,11.1,11.1,11.1,11.1,11.1.1,11.1.2,9.1.3,4.1,2.2,6.1,6.2,6.3.2,6.4.5,6.5,6.6,11.2,11.2.1,11.2.2,11.2.3
DSS05.04,2.1,2.2.2,3.6,4.1,5.1,5.1.1,5.1.2,5.2,5.3,5.4,6.2,7.1,9.1,9.1.1,9.1.2,9.1.3,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.3,10.3.4,10.3.5,10.3.6,10.4,10.5,10.6,10.6.1,10.6.2,10.6.3,10.7,11.1,11.4,11.5,11.5.1,12.3,12.3.1,12.3.2,12.3.5,12.3.6,12.3.7,9.7.1,9.9,9.9.1,9.9.2,9.9.3,9.1,9.1.1,9.1.2,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,9.5,9.5.1,3.1,9.6.1,9.7.1,9.10,12.3,9.5,9.5.1,9.6,9.7,9.8,9.9,3.5,7.1.3,8.1,8.1.1,8.1.2,8.1.6,8.1.7,8.2.1,8.2.2,8.2.3,8.2.4,8.2.5,8.2.6,8.5,8.5.1,12.3,3.5.2,7.1,8.1,12.3.8,12.3.9,12.5.4,7.3,8.8,9.10,6.4.2,7.3,8.8,9.10,6.4.1,6.4.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,7.2,7.2.1,7.2.2,7.3,12.8,12.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,7.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,12.5.4,8.1.4,8.1.3,8.1.4,8.1.5,12.5.4,10.1,12.3,3.5.2,3.6.6,1.2.3,2.1.1,4.1,4.1.1,11.1,11.1,11.1,11.1,11.1,11.1.1,11.1.2,9.1.3
DSS05.05,2.1,2.2.2,3.6,4.1,5.1,5.1.1,5.1.2,5.2,5.3,5.4,6.2,7.1,9.1,9.1.1,9.1.2,9.1.3,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.3,10.3.4,10.3.5,10.3.6,10.4,10.5,10.6,10.6.1,10.6.2,10.6.3,10.7,11.1,11.4,11.5,11.5.1,12.3,12.3.1,12.3.2,12.3.5,12.3.6,12.3.7,9.7.1,9.9,9.9.1,9.9.2,9.9.3,9.1,9.1.1,9.1.2,9.1.3,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,9.1,9.1.1,9.1.3,9.1,9.1.1,9.1.2,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,9.5,9.5.1,9.1,9.1.1,9.1.2,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,9.5,9.5.1,3.1,9.6.1,9.7.1,9.10,12.3,9.5,9.5.1,9.6,9.7,9.8,9.9,10.5,7.1.2,7.1.4,7.2,8.1,8.1.5,8.5,3.5.2,7.1,8.1,12.3.8,12.3.9,12.5.4,1.2.2,7.1,7.1.2,7.1.3,7.2,7.2.3,9.1.2,9.1.3,7.1,7.1.2,7.2,6.4.1,6.4.2,1.1,1.2,1.2.1,1.2.3,1.3,1.4,2.1.1,2.2.3,2.2.4,2.3,4.1,1.2.3,2.1.1,4.1,4.1.1,11.1,11.1,11.1,11.1,11.1,11.1.1,11.1.2,9.1.3,4.1
DSS05.06,3.5,7.1.3,8.1,8.1.1,8.1.2,8.1.6,8.1.7,8.2.1,8.2.2,8.2.3,8.2.4,8.2.5,8.2.6,8.5,8.5.1,3.5.2,7.1,8.1,12.3.8,12.3.9,12.5.4
DSS05.07,11.2,11.3,6.3.2,6.6,11.2.1,11.2.2,11.2.3,11.3.1,11.3.2,11.3.3,11.3.4,12.8.4,2.1,2.2.2,3.6,4.1,5.1,5.1.1,5.1.2,5.2,5.3,5.4,6.2,7.1,9.1,9.1.1,9.1.2,9.1.3,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.3,10.3.4,10.3.5,10.3.6,10.4,10.5,10.6,10.6.1,10.6.2,10.6.3,10.7,11.1,11.4,11.5,11.5.1,12.3,12.3.1,12.3.2,12.3.5,12.3.6,12.3.7,11.1,12.3,12.8,12.2,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.4,10.3.5,10.3.6,10.4,10.5,10.5.1,10.5.2,10.5.3,10.5.4,10.6,10.7,10.9,11.4,11.5,11.6,12.5.2,1.2.3,2.1.1,4.1,4.1.1,11.1,11.1,11.1,11.1,11.1,11.1.1,11.1.2,9.1.3,2.2,6.1,6.2,6.3.2,6.4.5,6.5,6.6,11.2,11.2.1,11.2.2,11.2.3
DSS06,2.1.1,3.1,4.1,4.1.1,4.2
DSS06.02,6.3.1,6.3.2
DSS06.03,2.1,2.2.2,3.6,4.1,5.1,5.1.1,5.1.2,5.2,5.3,5.4,6.2,7.1,9.1,9.1.1,9.1.2,9.1.3,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.3,10.3.4,10.3.5,10.3.6,10.4,10.5,10.6,10.6.1,10.6.2,10.6.3,10.7,11.1,11.4,11.5,11.5.1,12.3,12.3.1,12.3.2,12.3.5,12.3.6,12.3.7,9.1,9.1.1,9.1.2,9.1.3,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,9.1,9.1.1,9.1.2,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,9.5,9.5.1,9.1,9.1.1,9.1.2,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,9.5,9.5.1,3.5,7.1.3,8.1,8.1.1,8.1.2,8.1.6,8.1.7,8.2.1,8.2.2,8.2.3,8.2.4,8.2.5,8.2.6,8.5,8.5.1,11.1,12.3,3.5.2,7.1,8.1,12.3.8,12.3.9,12.5.4,6.4.2,7.3,8.8,9.10,6.4.1,6.4.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,7.2,7.2.1,7.2.2,7.3,12.8,12.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,7.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,12.5.4,8.1.4,8.1.3,8.1.4,8.1.5,12.5.4,10.1,12.3,3.5.2,3.6.6,1.2.3,2.1.1,4.1,4.1.1,11.1,11.1,11.1,11.1,11.1,11.1.1,11.1.2,9.1.3
DSS06.04,6.3.1,6.3.2
DSS06.05,10.1,10.2,10.2.1,10.2.2,10.2.3,10.2.4,10.2.5,10.2.6,10.2.7,10.3,10.3.1,10.3.2,10.3.4,10.3.5,10.3.6,10.4,10.5,10.5.1,10.5.2,10.5.3,10.5.4,10.6,10.7,10.9,11.4,11.5,11.6,12.5.2
DSS06.06,2.3,3.4.1,4.1,4.1.1,6.1,6.3.2,6.5,7.1,7.2,7.3,8.1,8.2,8.3,8.3.1,8.3.2,8.4,8.5,8.6,8.7,8.8,10.5.5,10.9,11.5,11.6,9.7.1,9.9,9.9.1,9.9.2,9.9.3,9.1,9.1.1,9.1.2,9.1.3,9.2,9.3,9.4,9.4.1,9.4.2,9.4.3,9.4.4,3.1,9.6.1,9.7.1,9.10,12.3,9.5,9.5.1,9.6,9.7,9.8,9.9,3.5,7.1.3,8.1,8.1.1,8.1.2,8.1.6,8.1.7,8.2.1,8.2.2,8.2.3,8.2.4,8.2.5,8.2.6,8.5,8.5.1,2.1.1,2.3,3.3,3.4,3.4.1,4.1,4.1.1,4.2,4.3,6.5.1,6.5.2,6.5.3,6.5.4,6.5.5,6.5.6,6.5.7,6.5.8,6.5.9,6.5.10,8.2.1,11.1,12.3,12.3,8.1.8,3.5.2,7.1,8.1,12.3.8,12.3.9,12.5.4,1.2.2,7.1,7.1.2,7.1.3,7.2,7.2.3,9.1.2,9.1.3,7.3,8.8,9.10,12.8,12.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,7.2,7.1,7.1.1,7.1.2,7.1.3,7.1.4,12.5.4,8.1.4,8.1.3,8.1.4,8.1.5,12.5.4,10.1,12.3,6.1,1.1,1.1.2,1.1.3,1.1.5,1.1.6,1.2,1.2.1,1.2.2,1.2.3,1.3,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.3.6,1.3.7,1.5,2.2.2,2.2.3,2.2.4,2.5,4.1,2.1,2.2,2.5,5.1,6.4.1,6.4.2,1.1,1.2,1.2.1,1.2.3,1.3,1.4,2.1.1,2.2.3,2.2.4,2.3,4.1,3.5.2,3.6.6,1.2.3,2.1.1,4.1,4.1.1,11.1,11.1,11.1,11.1,11.1,11.1.1,11.1.2,9.1.3,4.1
EDM03.02,12.2,12.2
EDM05.02,9.6.3
MEA01,12.1.1,12.8.4
MEA01.03,8.1.4,8.1.3,8.1.4,8.1.5,12.5.4,10.1,12.3
MEA02,12.1.1
MEA02.01,1.1,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.7,2.2,2.2.1,2.2.2,2.2.3,2.2.4,2.4,12.8.2,12.8.3,12.8.4,A1
MEA02.06,11.2,11.3,6.3.2,6.6,11.2.1,11.2.2,11.2.3,11.3.1,11.3.2,11.3.3,11.3.4,12.8.4
MEA02.07,11.2,11.3,6.3.2,6.6,11.2.1,11.2.2,11.2.3,11.3.1,11.3.2,11.3.3,11.3.4,12.8.4
MEA02.08,11.2,11.3,6.3.2,6.6,11.2.1,11.2.2,11.2.3,11.3.1,11.3.2,11.3.3,11.3.4,12.8.4
MEA03.01,11.2,11.3,6.3.2,6.6,11.2.1,11.2.2,11.2.3,11.3.1,11.3.2,11.3.3,11.3.4,12.8.4,3.1,6,6.5,2.3,3.4.1,4.1,4.1.1,6.1,6.3.2,6.5,7.1,7.2,7.3,8.1,8.2,8.3,8.3.1,8.3.2,8.4,8.5,8.6,8.7,8.8,10.5.5,10.9,11.5,11.6,3.1,3.2,3.2.1,3.2.2,3.2.3,9.9.1,9.5,9.5.1,9.6,9.7,9.8,10.7,12.10.1,12.1.1,12.5.3,12.10.1,12.10.3,12.10.6
MEA03.02,6,6.5,2.3,3.4.1,4.1,4.1.1,6.1,6.3.2,6.5,7.1,7.2,7.3,8.1,8.2,8.3,8.3.1,8.3.2,8.4,8.5,8.6,8.7,8.8,10.5.5,10.9,11.5,11.6,12.1.1,12.5.3,12.10.1,12.10.3,12.10.6
MEA03.03,12.5.3,12.10.1,12.10.3,12.10.6
